City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
25,ponta delgada,37.7333,-25.6667,15.4,72,40,4.12,PT,1702497217
26,waingapu,-9.6567,120.2641,25.8,80,100,2.81,ID,1702497217
27,wotho,10.1657,166.0102,27.53,81,46,10.23,MH,1702497217
28,grytviken,-54.2811,-36.5092,3.13,96,100,3.12,GS,1702497217
29,queenstown,-31.8976,26.8753,12.91,92,10,1.63,ZA,1702497217
30,adamstown,-25.066,-130.1015,23.37,83,99,4.91,PN,1702497217
31,west island,-12.1568,96.8225,25.99,78,100,3.6,CC,1702497218
32,udachny,66.4167,112.4,-27.53,82,100,4.67,RU,1702497218
33,east london,-33.0153,27.9116,19.95,85,94,8.56,ZA,1702497218
34,ilulissat,69.2167,-51.1,-5.99,73,40,6.17,GL,1702497218
35,maumere,-8.6199,122.2111,26.76,78,100,2.72,ID,1702497218
36,punta arenas,-53.15,-70.9167,12.06,43,40,10.8,CL,1702497218
37,akureyri,65.6835,-18.0878,5.96,65,75,6.17,IS,1702497218
38,puerto natales,-51.7236,-72.4875,11.25,43,75,10.29,CL,1702497218
39,kristiansund,63.1115,7.732,-1.64,74,20,2.57,NO,1702497219
40,mirny,62.5353,113.9611,-26.61,95,100,5.38,RU,1702496960
41,port mathurin,-19.6833,63.4167,26.16,76,4,5.09,MU,1702497219
42,albany,42.6001,-73.9662,3.53,56,53,1.79,US,1702497219
43,namibe,-15.1961,12.1522,22.74,73,100,3.28,AO,1702497219
44,hermanus,-34.4187,19.2345,16.49,74,100,4.42,ZA,1702497219
45,lazaro cardenas,17.9583,-102.2,30.64,44,100,2.1,MX,1702497219
46,nguigmi,14.2495,13.1092,19.74,29,2,5.97,NE,1702497219
47,kapit,2.0167,112.9333,23.23,100,100,0.3,MY,1702497219
48,mount isa,-20.7333,139.5,30.87,51,87,4.12,AU,1702497220
49,iskateley,67.6803,53.1512,-13.9,95,100,4.39,RU,1702497220
50,muang xay,20.7,101.9833,17.52,86,6,0.56,LA,1702497220
51,heroica caborca,30.7167,-112.15,21.39,25,0,2.81,MX,1702497220
52,saint-pierre,-21.3393,55.4781,25.82,83,75,1.03,RE,1702497220
53,papatowai,-46.5619,169.4708,10.61,68,100,8.09,NZ,1702497220
54,zhangye,38.9342,100.4517,-7.98,73,100,5.37,CN,1702497220
55,cestos city,5.46,-9.5828,27.73,80,1,3.49,LR,1702497220
56,avarua,-21.2078,-159.775,25.03,100,75,3.09,CK,1702497221
57,ust-nera,64.5667,143.2,-27.31,99,100,1.45,RU,1702497221
58,prado,-17.3411,-39.2208,26.59,67,100,4.3,BR,1702497221
59,thompson,55.7435,-97.8558,-5.91,73,100,2.57,CA,1702497221
60,walvis bay,-22.9575,14.5053,16.72,82,0,2.06,NA,1702497221
61,iqaluit,63.7506,-68.5145,-14.15,72,100,1.54,CA,1702497221
62,whitehorse,60.7161,-135.0538,-3.57,86,75,6.69,CA,1702497221
63,chonchi,-42.6128,-73.8092,14.56,52,99,0.56,CL,1702497221
64,holualoa,19.6228,-155.9522,24.88,73,40,3.09,US,1702497221
65,puerto ayora,-0.7393,-90.3518,30.98,80,78,5.05,EC,1702497221
66,mugia,43.1041,-9.2179,12.17,70,15,6.67,ES,1702497222
67,nova vicosa,-17.8919,-39.3719,27.06,66,81,5.08,BR,1702496992
68,hithadhoo,-0.6,73.0833,28.28,74,87,2.07,MV,1702497222
69,cabo san lucas,22.8909,-109.9124,28.67,44,40,2.06,MX,1702497173
70,hamilton,39.1834,-84.5333,8.46,41,0,2.57,US,1702497072
71,flying fish cove,-10.4217,105.6791,24.82,83,75,2.57,CX,1702497222
72,antsiranana,-12.2787,49.2917,26.03,83,100,4.96,MG,1702497222
73,smolyaninovo,43.2956,132.4675,-10.37,30,83,2.34,RU,1702497222
74,carolina beach,34.0352,-77.8936,16.14,39,65,1.34,US,1702497196
75,tiksi,71.6872,128.8694,-17.52,98,100,3.8,RU,1702497222
76,kargopol',61.5071,38.9456,-11.97,94,100,3.62,RU,1702497222
77,leava,-14.3,-178.1667,27.1,67,100,3.34,WF,1702497222
78,la gi,10.6667,107.7833,24.19,84,100,3.99,VN,1702497222
79,ribeira grande,38.5167,-28.7,15.22,67,20,4.12,PT,1702497223
80,fort mcmurray,56.7268,-111.381,2.77,51,0,1.54,CA,1702497223
81,baihar,22.1,80.55,12.76,64,15,1.1,IN,1702497223
82,timimoun,29.2639,0.231,16.21,27,0,2.06,DZ,1702497223
83,south hedland,-20.4089,118.5983,22.96,100,0,3.09,AU,1702497223
84,moree,-29.4667,149.85,24.97,45,99,5.82,AU,1702497223
85,bosaso,11.2842,49.1816,24.63,74,29,2.21,SO,1702497223
86,ilam,26.9167,87.9167,9.0,78,0,2.39,NP,1702497223
87,lobujya,27.95,86.8167,-13.73,23,0,2.41,NP,1702497223
88,taltal,-25.4,-70.4833,19.42,70,72,2.03,CL,1702497224
89,lihue,21.9789,-159.3672,24.58,88,100,11.83,US,1702497224
90,al hazm,16.1641,44.7769,19.82,44,20,1.39,YE,1702497224
91,luorong,24.4058,109.6086,19.43,84,100,0.52,CN,1702497224
92,satellite beach,28.1761,-80.5901,24.05,73,0,8.23,US,1702497224
93,horqueta,-23.3428,-57.0597,29.61,62,86,2.08,PY,1702497224
94,vilyuysk,63.7553,121.6247,-22.78,96,100,4.47,RU,1702497224
